dataset,train_share,test_loss,test_acc
citeseer,0.1,0.830,0.743
citeseer,0.1,0.841,0.746
citeseer,0.1,0.887,0.733
citeseer,0.1,0.902,0.724
citeseer,0.1,0.912,0.723
citeseer,0.1,0.913,0.725
citeseer,0.1,0.914,0.725
citeseer,0.1,0.920,0.725
citeseer,0.1,0.922,0.752
citeseer,0.1,0.923,0.725
citeseer,0.1,0.927,0.720
citeseer,0.1,0.940,0.713
citeseer,0.1,0.943,0.722
citeseer,0.1,0.950,0.723
citeseer,0.1,0.951,0.729
citeseer,0.1,0.956,0.714
citeseer,0.1,0.969,0.707
citeseer,0.1,1.016,0.713
citeseer,0.1,1.024,0.708
citeseer,0.1,1.068,0.701
citeseer,0.2,0.756,0.764
citeseer,0.2,0.795,0.746
citeseer,0.2,0.797,0.754
citeseer,0.2,0.804,0.760
citeseer,0.2,0.806,0.756
citeseer,0.2,0.808,0.754
citeseer,0.2,0.819,0.753
citeseer,0.2,0.821,0.740
citeseer,0.2,0.821,0.754
citeseer,0.2,0.827,0.745
citeseer,0.2,0.834,0.751
citeseer,0.2,0.834,0.764
citeseer,0.2,0.843,0.768
citeseer,0.2,0.848,0.745
citeseer,0.2,0.855,0.725
citeseer,0.2,0.855,0.739
citeseer,0.2,0.865,0.741
citeseer,0.2,0.906,0.721
citeseer,0.2,0.922,0.725
citeseer,0.2,0.930,0.720
citeseer,0.3,0.721,0.773
citeseer,0.3,0.737,0.773
citeseer,0.3,0.767,0.766
citeseer,0.3,0.777,0.758
citeseer,0.3,0.779,0.747
citeseer,0.3,0.786,0.765
citeseer,0.3,0.791,0.755
citeseer,0.3,0.801,0.750
citeseer,0.3,0.801,0.755
citeseer,0.3,0.802,0.765
citeseer,0.3,0.807,0.754
citeseer,0.3,0.813,0.753
citeseer,0.3,0.815,0.756
citeseer,0.3,0.816,0.753
citeseer,0.3,0.818,0.764
citeseer,0.3,0.823,0.761
citeseer,0.3,0.825,0.761
citeseer,0.3,0.833,0.740
citeseer,0.3,0.836,0.758
citeseer,0.3,0.847,0.742
citeseer,0.4,0.705,0.791
citeseer,0.4,0.728,0.772
citeseer,0.4,0.734,0.771
citeseer,0.4,0.735,0.779
citeseer,0.4,0.746,0.765
citeseer,0.4,0.748,0.767
citeseer,0.4,0.767,0.761
citeseer,0.4,0.770,0.754
citeseer,0.4,0.782,0.779
citeseer,0.4,0.784,0.772
citeseer,0.4,0.787,0.749
citeseer,0.4,0.787,0.771
citeseer,0.4,0.789,0.773
citeseer,0.4,0.804,0.772
citeseer,0.4,0.814,0.752
citeseer,0.4,0.828,0.763
citeseer,0.4,0.833,0.746
citeseer,0.4,0.841,0.748
citeseer,0.4,0.857,0.718
citeseer,0.4,0.883,0.752
citeseer,0.5,0.679,0.795
citeseer,0.5,0.696,0.803
citeseer,0.5,0.697,0.800
citeseer,0.5,0.717,0.771
citeseer,0.5,0.720,0.789
citeseer,0.5,0.728,0.773
citeseer,0.5,0.732,0.757
citeseer,0.5,0.734,0.773
citeseer,0.5,0.741,0.775
